time,open,high,low,close,tick_volume,real_volume,ATR,result,Supertrend_Direction,RSI,MACD,MACD_signal,MACD_diff,EMA_21,Day of the week,Is Weekend,Month,hour,high_liquidity
2025-06-13 20:15:00,3432.977,3433.569,3431.994,3432.961,1314,0,4.163214285714275,Buy,-1,52.981761065075474,1.5680317644951174,1.709693129014617,-0.1416613645194995,3432.1595566790797,4,True,13,20,0
2025-06-13 20:30:00,3432.946,3434.86,3431.134,3434.174,1463,0,4.109928571428554,Buy,-1,55.1395570167848,1.5339131042765075,1.674537124066995,-0.14062401979048755,3432.3426878900723,4,True,13,20,0
2025-06-13 20:45:00,3434.128,3434.579,3431.773,3433.529,1454,0,4.054571428571405,Buy,-1,53.72758866629472,1.4382484775605917,1.6272793947657145,-0.18903091720512277,3432.45053444552,4,True,13,20,0
2025-06-15 22:00:00,3441.056,3451.331,3438.671,3450.026,2577,0,5.0294999999999686,Buy,1,72.86598885378739,2.6629072631531017,1.834404968443192,0.8285022947099097,3434.048304041382,6,True,15,22,0
2025-06-15 22:15:00,3449.992,3451.142,3446.551,3447.219,3493,0,5.127499999999957,Sell,1,67.73260873719485,3.3681310152478545,2.141150177804125,1.2269808374437297,3435.24564003762,6,True,15,22,0
2025-06-15 22:30:00,3447.237,3448.807,3439.784,3445.229,4638,0,5.385499999999963,Sell,1,64.27545216623471,3.7235270487672096,2.457625551996742,1.2659014967704678,3436.153218216018,6,True,15,22,0
2025-06-15 22:45:00,3445.268,3450.289,3445.2,3448.392,2703,0,5.242214285714291,Sell,1,67.14585113511725,4.211856966210689,2.8084718348395317,1.4033851313711576,3437.2658347418346,6,True,15,22,0
2025-06-15 23:00:00,3448.505,3450.247,3446.221,3447.474,2574,0,5.2085714285714335,Sell,1,65.50090752488643,4.473222491657907,3.1414219662032066,1.3318005254547005,3438.193849765304,6,True,15,23,0
2025-06-15 23:15:00,3447.472,3449.374,3443.26,3447.992,2522,0,5.242714285714263,Sell,1,66.00695775566979,4.668341094311472,3.44680579182486,1.2215353024866125,3439.084590695731,6,True,15,23,0
2025-06-15 23:30:00,3448.013,3449.42,3445.513,3446.068,2345,0,5.30014285714284,Sell,1,62.348707570907976,4.614529844603567,3.6803506023806016,0.9341792422229651,3439.7194460870282,6,True,15,23,0
2025-06-15 23:45:00,3446.066,3446.066,3439.622,3444.221,4087,0,5.483928571428578,Sell,1,58.96992111628448,4.3724437675437,3.818769235413222,0.5536745321304783,3440.1286782609345,6,True,15,23,0
2025-06-16 00:00:00,3444.246,3445.91,3437.157,3445.591,4345,0,5.821928571428543,Sell,1,60.67235248481881,4.2422345189343105,3.90346229211744,0.3387722268168707,3440.6252529644858,0,False,16,0,0
2025-06-16 00:15:00,3445.615,3451.304,3445.136,3448.992,3582,0,6.042928571428547,Sell,1,64.59925736632508,4.363179016247159,3.9954056369433837,0.3677733793037752,3441.385866331351,0,False,16,0,0
2025-06-16 00:30:00,3448.949,3450.055,3440.867,3441.068,3481,0,6.372428571428535,Sell,1,51.657141067328155,3.77609930313065,3.9515443701808373,-0.17544506705018748,3441.3569693921368,0,False,16,0,0
2025-06-16 00:45:00,3441.028,3441.989,3434.394,3436.191,3881,0,6.802428571428566,Hold,1,45.60162619478608,2.884055661194452,3.73804662838356,-0.8539909671891079,3440.887335811033,0,False,16,0,0
2025-06-16 01:00:00,3436.215,3441.588,3433.288,3440.639,5154,0,7.129142857142857,Hold,1,51.21824367437606,2.5071205495783033,3.4918614126225087,-0.9847408630442054,3440.864759828212,0,False,16,1,1
2025-06-16 01:15:00,3440.614,3443.308,3434.527,3436.104,3867,0,7.555928571428565,Hold,1,46.003025069287354,1.8214634615642353,3.157781822410854,-1.3363183608466187,3440.4319634801923,0,False,16,1,1
2025-06-16 01:30:00,3436.135,3439.442,3435.506,3438.768,3535,0,6.565499999999994,Buy,1,49.270766950613954,1.4760231394848233,2.8214300858256482,-1.345406946340825,3440.280694072902,0,False,16,1,1
2025-06-16 01:45:00,3438.811,3442.305,3438.383,3441.59,3028,0,6.517714285714289,Hold,1,52.546821285344,1.413675045097989,2.5398790776801166,-1.1262040325821276,3440.399721884456,0,False,16,1,1
2025-06-16 02:00:00,3441.595,3446.479,3440.492,3444.181,2898,0,6.300857142857142,Sell,1,55.395025852828674,1.5554060247654888,2.342984467097191,-0.7875784423317023,3440.7434744404145,0,False,16,2,0
2025-06-16 02:15:00,3444.226,3446.302,3442.441,3442.639,2760,0,6.213142857142851,Sell,1,53.34299034600181,1.5257148433101975,2.1795305423397924,-0.6538156990295949,3440.9157949458313,0,False,16,2,0
2025-06-16 02:30:00,3442.68,3444.072,3440.225,3443.6,2478,0,6.200357142857164,Sell,1,54.47484136690463,1.5617264265770245,2.055969719187239,-0.49424329261021427,3441.159813587119,0,False,16,2,0
2025-06-16 02:45:00,3443.578,3443.926,3437.969,3438.512,2437,0,6.189142857142899,Sell,1,47.85552886547554,1.1662628359558767,1.8780283425409665,-0.7117655065850899,3440.9191032610174,0,False,16,2,0
2025-06-16 03:00:00,3438.472,3439.734,3435.622,3437.734,2607,0,6.203785714285751,Sell,1,46.916752745059036,0.7810732668262972,1.6586373273980328,-0.8775640605717356,3440.629548419107,0,False,16,3,0
2025-06-16 03:15:00,3437.749,3437.82,3434.187,3437.171,2809,0,6.002857142857173,Sell,1,46.21030149632736,0.4254737666042274,1.4120046152392718,-0.9865308486350444,3440.315134926461,0,False,16,3,0
2025-06-16 03:30:00,3437.136,3437.136,3432.21,3432.549,2295,0,5.732000000000036,Sell,1,40.78128250689762,-0.2266850870350936,1.0842666747843988,-1.3109517618194924,3439.609122660419,0,False,16,3,0
2025-06-16 03:45:00,3432.506,3433.223,3429.324,3431.508,2043,0,5.569928571428591,Sell,-1,39.651366428535155,-0.8180951850486053,0.703794302817798,-1.5218894878664033,3438.872656964017,0,False,16,3,0
2025-06-16 04:00:00,3431.576,3433.341,3429.004,3429.878,2160,0,5.223428571428615,Sell,-1,37.881525138050876,-1.40215614292174,0.2826042136698904,-1.6847603565916303,3438.0549608763795,0,False,16,4,0
2025-06-16 04:15:00,3429.853,3432.129,3429.389,3430.457,1640,0,4.876642857142867,Sell,-1,38.924370135153026,-1.7975867379172996,-0.13343397664754758,-1.664152761269752,3437.364237160345,0,False,16,4,0
2025-06-16 04:30:00,3430.408,3432.084,3429.564,3430.097,1652,0,4.46378571428571,Sell,-1,38.4916824918148,-2.115629662909214,-0.5298731138998809,-1.585756549009333,3436.7035792366773,0,False,16,4,0
2025-06-16 04:45:00,3430.053,3430.075,3426.965,3427.647,1860,0,4.060285714285718,Sell,-1,35.59198078356397,-2.53614044843971,-0.9311265808078467,-1.6050138676318633,3435.880253851525,0,False,16,4,0
2025-06-16 05:00:00,3427.609,3429.835,3422.023,3427.311,3184,0,4.337142857142843,Sell,-1,35.20033709822057,-2.86350199894423,-1.3176016644351234,-1.5459003345091065,3435.101230774114,0,False,16,5,0
2025-06-16 05:15:00,3427.352,3428.36,3424.411,3427.767,2176,0,4.339071428571417,Sell,-1,36.22597264119822,-3.050973276417153,-1.6642759868315293,-1.3866972895856238,3434.434482521922,0,False,16,5,0
2025-06-16 05:30:00,3427.665,3430.515,3417.866,3420.85,4412,0,4.814928571428579,Sell,-1,28.783713941425688,-3.7148670319711528,-2.074394195859454,-1.640472836111699,3433.1995295653833,0,False,16,5,0
2025-06-16 05:45:00,3420.807,3425.098,3420.111,3421.694,3469,0,4.895357142857132,Sell,-1,30.655709319294402,-4.125349409889168,-2.484585238665397,-1.640764171223771,3432.1535723321667,0,False,16,5,0
2025-06-16 06:00:00,3421.729,3421.729,3415.823,3419.001,4245,0,5.042428571428543,Sell,-1,28.116141789638206,-4.614766094470724,-2.9106214098264624,-1.7041446846442616,3430.9578839383335,0,False,16,6,0
2025-06-16 06:15:00,3418.965,3420.554,3413.079,3416.13,3871,0,5.150857142857116,Sell,-1,25.674243480176415,-5.174647928892227,-3.3634267136396154,-1.811221215252612,3429.6098944893943,0,False,16,6,0
2025-06-16 06:30:00,3416.096,3420.055,3413.087,3419.456,4064,0,5.3548571428571,Hold,-1,32.940427096584955,-5.289009503679608,-3.7485432716476144,-1.540466232031994,3428.6868131721767,0,False,16,6,0
2025-06-16 06:45:00,3419.432,3419.58,3414.711,3418.323,3040,0,5.443142857142805,Sell,-1,31.799951908022067,-5.408717181889642,-4.08057805369602,-1.3281391281936221,3427.7446483383424,0,False,16,6,0
2025-06-16 07:00:00,3418.272,3419.923,3409.539,3411.208,3831,0,5.830499999999931,Hold,-1,25.766771638576245,-6.008445793799183,-4.4661516017166525,-1.5422941920825304,3426.2413166712204,0,False,16,7,0
2025-06-16 07:15:00,3411.165,3415.916,3410.481,3413.556,3382,0,5.940214285714221,Hold,-1,30.455858327396896,-6.22254147784497,-4.817429576942316,-1.4051119009026545,3425.0881060647453,0,False,16,7,0
2025-06-16 07:30:00,3413.674,3416.541,3412.824,3414.129,3089,0,5.895928571428515,Hold,-1,31.59149967432333,-6.27365870633821,-5.108675402821495,-1.1649833035167152,3424.091823695223,0,False,16,7,0
2025-06-16 07:45:00,3414.114,3415.213,3411.098,3412.699,2792,0,5.994142857142833,Hold,-1,30.263301004120606,-6.356287204942873,-5.358197763245771,-0.9980894416971022,3423.056112450203,0,False,16,7,0
2025-06-16 08:00:00,3412.704,3415.235,3409.853,3414.734,2554,0,6.198571428571411,Hold,-1,34.484628675975884,-6.186252128864453,-5.523808636369507,-0.6624434924949458,3422.2995567729117,0,False,16,8,0
2025-06-16 08:15:00,3414.755,3418.527,3413.207,3414.1,2998,0,6.354857142857132,Hold,-1,33.798207188250686,-6.033110663232037,-5.625669041742013,-0.4074416214900243,3421.554142520829,0,False,16,8,0
2025-06-16 08:30:00,3414.062,3418.616,3412.49,3416.838,2255,0,6.234428571428582,Hold,-1,39.40755846677117,-5.625958681176144,-5.62572696962884,-0.00023171154730405874,3421.1254022916623,0,False,16,8,0
2025-06-16 08:45:00,3416.797,3417.974,3413.225,3413.999,2219,0,6.291571428571452,Hold,-1,36.00129925781001,-5.46932440827004,-5.594446457357081,0.1251220490870404,3420.4775475378747,0,False,16,8,0
2025-06-16 09:00:00,3414.035,3418.893,3413.089,3416.974,2145,0,5.802642857142895,Hold,-1,41.689216907170156,-5.04695482797797,-5.484948131481259,0.4379933035032888,3420.1590432162498,0,False,16,9,0
2025-06-16 09:15:00,3416.944,3419.582,3415.193,3418.876,1777,0,5.75992857142858,Hold,-1,45.05158706025604,-4.506796839681556,-5.289317873121318,0.7825210334397621,3420.042402923863,0,False,16,9,0
2025-06-16 09:30:00,3418.861,3419.431,3415.346,3416.231,2246,0,5.6298571428571575,Hold,-1,41.4703414548106,-4.243233779453021,-5.08010105438766,0.8368672749346384,3419.6959117489664,0,False,16,9,0
